entity,logs_listed,string_matches,logs_w_author,top_author,top_author_share,n_distinct_authors,proposed_player_dbref,confidence,relationship
Orson Tighe,59,40,59,Jessalyn Valios,1.0,1,3146,high,ext_uploader:Jessalyn Valios
Paul Nighman,57,83,57,Paul Nighman,0.88,4,,high,self(player)
Antoine Dareus,55,27,55,Antoine Dareus,0.45,8,,low,self(player)
Darth Malign,52,151,51,Danik Kreldin,0.22,14,8061,low,ambiguous(co-played)
Raxis L'ygr,49,20,48,Raxis L'ygr,0.48,13,,low,self(player)
Ikihsa Enb'Zik,42,67,42,Rasi Praddhan Cen,0.14,19,1050,low,ambiguous(co-played)
Morganna Tazecks,36,11,36,Morganna Tazecks,0.69,5,,high,self(player)
Alex Dante,35,5,35,Krieg Inrokana,0.29,15,3692,low,ambiguous(co-played)
Simone Drake,31,8,31,Simone Drake,0.97,2,,high,self(player)
Shenneret Veery,31,6,31,Paul Nighman,0.55,6,,med,ext_uploader:Paul Nighman
Vassily Korolov,30,27,29,Danik Kreldin,0.14,16,8061,low,ambiguous(co-played)
Gren Delede,28,41,28,Gren Delede,0.43,8,,low,self(player)
Seifer Wolf,28,12,28,Seifer Wolf,0.14,14,,low,self(player)
Kesander Beysarus,27,36,26,Raxis L'ygr,0.23,12,,low,ambiguous(co-played)
Tsaran Joir,26,5,26,Tsaran Joir,1.0,1,,high,self(player)
Elana Tracer,25,48,25,Crestian Tarasar,0.4,6,5921,low,ambiguous(co-played)
Atsvara Tarasar,25,9,25,Crestian Tarasar,0.68,4,5921,high,puppet_of:Crestian Tarasar
Sandor Woden,22,25,22,Danik Kreldin,0.59,10,8061,med,ext_uploader:Danik Kreldin
Lance Corbet,22,18,22,Krieg Inrokana,0.27,11,3692,low,ambiguous(co-played)
Vengan Draelis,22,11,22,Vengan Draelis,0.09,17,,low,self(player)
Geophreigh Smitherbodkins IV,22,6,22,Geophreigh Smitherbodkins IV,0.86,3,,high,self(player)
Wescal Cantrell,21,3,21,Danik Kreldin,0.38,11,8061,low,ambiguous(co-played)
Blulurbgloblurb Druze,18,0,18,Crestian Tarasar,0.39,6,5921,low,ambiguous(co-played)
Shael Edur,17,0,17,Shael Edur,0.35,8,,low,self(player)
Kuxli,15,493,15,Simone Drake,0.73,3,,high,ext_uploader:Simone Drake
Veruca Violet,15,48,15,Zubindi Hakoon,0.73,3,4715,high,puppet_of:Zubindi Hakoon
Aldus Thel,14,29,14,Aldus Thel,0.43,5,,low,self(player)
Snal'Fashtalli Teague-Ikihsa,14,5,14,Luke Skywalker,0.21,9,2043,low,ambiguous(co-played)
Xar'on Tanner,14,5,14,Antoine Dareus,0.21,7,,low,ambiguous(co-played)
Talon Karrde,13,42,13,Jessalyn Valios,0.38,7,3146,low,ambiguous(co-played)
Shiari Vane,13,11,13,Jaspar Andromidas,0.46,3,4049,low,ambiguous(co-played)
Inanna Jordain,13,4,8,Krieg Inrokana,0.25,7,3692,low,ambiguous(co-played)
R2-D2,12,97,12,Luke Skywalker,0.42,5,2043,low,ambiguous(co-played)
Drayson Honos,12,23,12,Elana Tracer,0.33,5,,low,ambiguous(co-played)
Gene Malantean,12,2,12,Danik Kreldin,0.42,6,8061,low,ambiguous(co-played)
ak,11,149,11,Crestian Tarasar,1.0,1,5921,high,ext_uploader:Crestian Tarasar
Eva Sargent,11,30,11,Bazil McKenzie,0.64,4,9199,high,ext_uploader:Bazil McKenzie
Mege Vauki,11,28,11,Bazil McKenzie,1.0,1,9199,high,ext_uploader:Bazil McKenzie
Aramis Tyrese,11,7,11,Lynae Cassius-Caiton,0.18,9,9311,low,ambiguous(co-played)
Alistair Al'Dira,11,2,11,Alistair Al'Dira,0.36,5,,low,self(player)
C-3PO,11,1,11,Simone Drake,0.45,5,,low,ambiguous(co-played)
Calyx Drogyn,10,14,10,Krieg Inrokana,0.2,9,3692,low,ambiguous(co-played)
Shenner Veery,10,1,10,Paul Nighman,0.8,2,,high,ext_uploader:Paul Nighman
Ewan Dain,9,38,9,Ambrosia Delgard,0.44,4,4866,low,ambiguous(co-played)
Lorn Rhys,9,34,9,Malus,0.56,4,10062,med,ext_uploader:Malus
Basca Starker,9,11,8,Jessalyn Valios,0.88,2,3146,high,ext_uploader:Jessalyn Valios
Liora Kovani,9,4,8,Ambrosia Delgard,1.0,1,4866,high,ext_uploader:Ambrosia Delgard
Ylsa Estrallas,9,2,9,Paul Nighman,1.0,1,,high,ext_uploader:Paul Nighman
Ariana Millikin,9,2,9,Paul Nighman,0.56,5,,med,ext_uploader:Paul Nighman
Alora Antieres,9,1,9,Simone Drake,0.44,4,,low,ambiguous(co-played)
Sean Dillon,9,1,9,Simone Drake,0.89,2,,high,ext_uploader:Simone Drake
Ohaotrantak Ostivort,9,1,9,Raxis L'ygr,0.22,8,,low,ambiguous(co-played)
Tacra,8,261,8,Paul Nighman,0.75,2,,high,ext_uploader:Paul Nighman
Tand,8,217,8,Paul Nighman,0.75,2,,high,ext_uploader:Paul Nighman
Dane Noth,8,14,8,Paul Nighman,1.0,1,,high,ext_uploader:Paul Nighman
Darth Malus,8,11,8,Malus,1.0,1,10062,high,ext_uploader:Malus
Tanis Cadell,8,9,8,Tyy'sun Eson,0.38,4,3655,low,ambiguous(co-played)
Camrath Kizuka,8,6,8,Simon Sezirok,0.38,5,7077,low,ambiguous(co-played)
