variant,player,dbref,db_type,source
2SK-MI,,,unresolved,two-part
501-Zed,501-Zed,10495,player,exact
A'estshy Nubiari,A'estshy,5610,player,token
A. Peltoo Appel,,,unresolved,two-part
AD-01,AD-01,9195,player,exact
Aaden Baeyal,Aaden,1272,player,token
Aaden'maal Baeyal,Aaden,1272,player,full_name
Aayla Noor,Aayla,11827,player,full_name
Ackbar,,,unresolved,two-part
Acthpa Sanduleak,,,unresolved,two-part
Adam Shadow,Shadow,10825,player,full_name
Adam Zero,Adam,11813,player,token
Adams Garat,,,unresolved,two-part
Adaze Zasul,,,unresolved,two-part
Adler,,,unresolved,two-part
Admiral Bejin,,,unresolved,two-part
Admiral Harkenson,,,unresolved,two-part
Aerilaya,,,unresolved,two-part
Aeron Corvus,,,unresolved,two-part
Agent McKenna,,,unresolved,two-part
Ahkaurakh,,,unresolved,two-part
Ai'kani Za'netra,Ai'kani,7786,player,token
Aideen Shamus,,,unresolved,two-part
Aido Or,,,unresolved,two-part
Aidon,,,unresolved,two-part
Ailah Vieres,,,unresolved,two-part
Airion Cimber,,,unresolved,two-part
Aisaiy Beemes,Aisaiy,12054,player,full_name
Aknar Koth'lyri,Aknar,7147,player,full_name
Akor Odaliik,,,unresolved,two-part
Al'Dira,Al'Dira,11521,player,exact
Alac,Alac,7437,player,exact
Alac Y'all,Alac,7437,player,full_name
Alan,Ralan,11795,player,fuzzy
Alana Ten'ou,,,unresolved,two-part
Alban,Alban,9842,player,exact
Alden Spiers,Alden,11621,player,token
Alder,,,unresolved,two-part
Aldol-Eo Pold,,,unresolved,two-part
Aldus Syn,,,unresolved,two-part
Aldus Thel,Thel,4590,player,full_name
Aleh,,,unresolved,two-part
Aleira Targadas,,,unresolved,two-part
Aleister Vadim,Vadim,775,player,full_name
Alex Dante,Dante,,annotation,annotation
Alex Raven,,,unresolved,two-part
Alexin,,,unresolved,two-part
Alexis Blochson,Alexis,11220,player,token
Alina,,,unresolved,two-part
Alina Gens,,,unresolved,two-part
Alina te Danaan,Johanna,,annotation,annotation
Alistair,,,unresolved,two-part
Alistair Al'Dira,Al'Dira,11521,player,full_name
Allerden Vraill,,,unresolved,two-part
Alora,,,unresolved,two-part
Alora Antieres,,,unresolved,two-part
Alstuner,,,unresolved,two-part
Altair,Altair,3686,player,exact
Altair Quila,Altair,3686,player,full_name
Alysha Mara,Alysha,3990,player,full_name
Ama-Li Vapasi,Ama-Li,5066,player,full_name
Amari Cociena,,,unresolved,two-part
Amaya Halos,,,unresolved,two-part
Amaza Sunrider,Amaza,3749,player,token
Ambar,,,unresolved,two-part
Ambrosia,Ambrosia,4866,player,exact
Ambrosia Delgard,Ambrosia,4866,player,full_name
Ambry,,,unresolved,two-part
Amek Drell,,,unresolved,two-part
Amelia Hawthorne,,,unresolved,two-part
Amerna Slanver,,,unresolved,two-part
Amylynn Starr,Amylynn,9420,player,token
Anatoli Black,Black,11078,player,token
