"dbref","name","full_name","alias","sex","race","homeworld","affiliation","organization","occupation","business","background","lastconnected","im","email","url","away","status","quote","note"
"1","TheForce","The Force","God","**NONE**","**NONE**","","Management","**NONE**","Permeating the universe","","#-1 PERMISSION DENIED","Fri May 29 15:18:12 2026","**NONE**","**NONE**","**NONE**","","","","#-1 PERMISSION DENIED"
"3","o'derus","Buckfutter","O","Male","Human","","Management","**NONE**","Selling Ass for Crack","","I have been here forever. I'm not kidding. I made this DB. Don't believe me? I once took a heroic dose of mushrooms and spent three days in a sensory deprivation tank, now I can see the future! I'm DBRef #3 on this DB. I was DBRef #8223 on the old DB.","Fri May 29 15:18:51 2026","[redacted]","[redacted-email]","[redacted]","I'm not here. Duh. Page someone else.","","",""
"4","Asparax","**NONE**","asp","Male","Reptile","","Management","**NONE**","Retired MUSH Director","","No time for love, Dr. Jones!","Fri Oct 10 11:58:25 2025","**NONE**","[redacted-email]","**NONE**","Send @mail. I love to get @mail.","","","#11824. Never forget."
"5","Harvester","Harvester of Darkness","Harv","Male","Demon","","Management","**NONE**","Server Hack/Wiz Coder/Torment","","Remorse, Anguish, Regret, Loneliness, Masochism, enough said.","Fri Dec 22 22:40:51 2006","**NONE**","[redacted-email]","**NONE**","If you have something important to say, @mail or email me. Take note
 of the following:
    (1) Whining/Twinking will be redirected to /dev/null
    (2) Criticisms without possible solution(s) will meet the same demise
    (3) Unless you're willing to help out in whatever way you can, don't
        expect much","","","People will perceive you as you perceive yourself to be ... unless
  they're morons, in which case they probably base everything after corn."
"7","Sarc_Sennex","Sarc Sennex","Sark","Male","Human","","Unknown","**NONE**","Stealth","","**NONE**","Tue Sep 17 06:21:35 2024","**NONE**","[redacted-email]","[redacted]","","","","When you put a lot of heart on something, it becomes your only goal. The rest gets dilluted as you work the best out of you to get the best you can achieve. However, be careful where you place your heart, because hearts are fragile, and can be easily broken..."
"8","Mike","Mike Kienenberger","**NONE**","Male","**NONE**","","Management","**NONE**","Site/System Administrator","","**NONE**","Thu Dec 21 01:38:01 2006","**NONE**","[redacted-email]","**NONE**","","","","**NONE**"
"10","Tera_Leigh","Lady Tera Michelle Leigh","Tera","Female","**NONE**","","Imperial","**NONE**","Dignitary","","Classified.","Thu Sep 30 20:24:32 2004","**NONE**","[redacted-email]","**NONE**","I have fiance, job, life. :)","","","Just when you think that you've got me figured out the season's already changing.

In SW MUSH: THE MOVIE, Julia Roberts would play Tera."
"11","Space_Wizard","**NONE**","swiz","**NONE**","Gremlin","","Management","**NONE**","**NONE**","","**NONE**","Tue Jan 30 21:39:56 2007","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"12","Guest","**NONE**","g1","**NONE**","Human","","Guests","**NONE**","**NONE**","","**NONE**","Fri Jun 19 14:21:19 2026","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"43","Shar","Shar Robate","S;W;Wolfram","Female","**NONE**","","Imperial","Independent","The trusted and influential assistant of Torc Wolfram, Moff of Corusca Sector.","","**NONE**","Sat May 19 11:49:29 2012","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"48","creed","**NONE**","**NONE**","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Wed May 27 22:13:37 2015","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"52","BC_Ord_Mantell","**NONE**","ordmantell","Builder","Human","Ord Mantell","New Republic","Griffons","Builder","","""Well, the bounty hunter we ran into on Ord Mantell changed my mind."" - Han Solo.","Wed Apr 20 14:56:03 2016","**NONE**","**NONE**","**NONE**","","","",""
"53","BC_Pride-1","**NONE**","Pride-1","Unknown","**NONE**","","Unknown","Griffons","Builder Character","","**NONE**","Fri Aug 06 03:59:08 2004","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"55","BC_Asteroid","**NONE**","astro","**NONE**","**NONE**","","Unknown","Griffons","**NONE**","","**NONE**","Sat Jul 31 20:22:35 2004","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"60","game_wizard","**NONE**","gw","**NONE**","**NONE**","","Management","**NONE**","**NONE**","","**NONE**","Mon Jan 23 16:56:43 2023","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"76","BC_Calamari","Robert Dole","Calamari","Must resist dirty joke...","Mon Calamari","","","**NONE**","Professional Greek.","","**NONE**","Sat Apr 12 06:50:47 2008","**NONE**","**NONE**","**NONE**","","","","**NONE**"
"83","BC_Mikassa","**NONE**","QC","**NONE**","**NONE**","","**NONE**","**NONE**","**NONE**","","**NONE**","Tue Mar 18 13:41:49 2008","**NONE**","**NONE**","**NONE**","","","","**NONE**"
